Date,Open,High,Low,Close,Volume,Adj Close,Symbol
2004-08-19,100.0,104.06,95.96,100.34,22351900,100.34,GOOG
2004-08-20,101.01,109.08,100.5,108.31,11428600,108.31,GOOG
2004-08-23,110.75,113.48,109.05,109.4,9137200,109.4,GOOG
2004-08-24,111.24,111.6,103.57,104.87,7631300,104.87,GOOG
2004-08-25,104.96,108.0,103.88,106.0,4598900,106.0,GOOG
2004-08-26,104.95,107.95,104.66,107.91,3551000,107.91,GOOG
2004-08-27,108.1,108.62,105.69,106.15,3109000,106.15,GOOG
2004-08-30,105.28,105.49,102.01,102.01,2601000,102.01,GOOG
2004-08-31,102.3,103.71,102.16,102.37,2461400,102.37,GOOG
2004-09-01,102.7,102.97,99.67,100.25,4573700,100.25,GOOG
2004-09-02,99.19,102.37,98.94,101.51,7566900,101.51,GOOG
2004-09-03,100.95,101.74,99.32,100.01,2578800,100.01,GOOG
2004-09-07,101.01,102.0,99.61,101.58,2926700,101.58,GOOG
2004-09-08,100.74,103.03,100.5,102.3,2495300,102.3,GOOG
2004-09-09,102.53,102.71,101.0,102.31,2032900,102.31,GOOG
2004-09-10,101.6,106.56,101.3,105.33,4353800,105.33,GOOG
2004-09-13,106.63,108.41,106.46,107.5,3926000,107.5,GOOG
2004-09-14,107.45,112.0,106.79,111.49,5419900,111.49,GOOG
2004-09-15,110.56,114.23,110.2,112.0,5361900,112.0,GOOG
2004-09-16,112.34,115.8,111.65,113.97,4637800,113.97,GOOG
2004-09-17,114.42,117.49,113.55,117.49,4741000,117.49,GOOG
2004-09-20,116.95,121.6,116.77,119.36,5319700,119.36,GOOG
2004-09-21,119.81,120.42,117.51,117.84,3618000,117.84,GOOG
2004-09-22,117.4,119.67,116.81,118.38,3794400,118.38,GOOG
2004-09-23,118.84,122.63,117.02,120.82,4272100,120.82,GOOG
2004-09-24,120.94,124.1,119.76,119.83,4566300,119.83,GOOG
2004-09-27,119.56,120.88,117.8,118.26,3536600,118.26,GOOG
2004-09-28,121.3,127.4,120.21,126.86,8473000,126.86,GOOG
2004-09-29,126.7,135.02,126.23,131.08,15273500,131.08,GOOG
2004-09-30,129.9,132.3,129.0,129.6,6885900,129.6,GOOG
2004-10-01,130.8,134.24,128.9,132.58,7570000,132.58,GOOG
2004-10-04,135.25,136.87,134.03,135.06,6517900,135.06,GOOG
2004-10-05,134.66,138.53,132.24,138.37,7494100,138.37,GOOG
2004-10-06,137.55,138.45,136.0,137.08,6697400,137.08,GOOG
2004-10-07,136.92,139.88,136.55,138.85,7064600,138.85,GOOG
2004-10-08,138.72,139.68,137.02,137.73,5540300,137.73,GOOG
2004-10-11,137.0,138.86,133.85,135.26,5241300,135.26,GOOG
2004-10-12,134.44,137.61,133.4,137.4,5838600,137.4,GOOG
2004-10-13,143.32,143.55,140.08,140.9,9893000,140.9,GOOG
2004-10-14,141.01,142.38,138.56,142.0,5226300,142.0,GOOG
2004-10-15,144.93,145.5,141.95,144.11,6604000,144.11,GOOG
2004-10-18,143.2,149.2,141.21,149.16,7025200,149.16,GOOG
2004-10-19,150.5,152.4,147.35,147.94,9064000,147.94,GOOG
2004-10-20,148.03,148.99,139.6,140.49,11372700,140.49,GOOG
2004-10-21,144.4,150.13,141.62,149.38,14589500,149.38,GOOG
2004-10-22,170.54,180.17,164.08,172.43,36891900,172.43,GOOG
2004-10-25,176.4,194.43,172.55,187.4,32764200,187.4,GOOG
2004-10-26,186.34,192.64,180.0,181.8,22307100,181.8,GOOG
2004-10-27,182.72,189.52,181.77,185.97,13356500,185.97,GOOG
2004-10-28,186.68,194.39,185.6,193.3,14846800,193.3,GOOG
2004-10-29,198.89,199.95,190.6,190.64,21162500,190.64,GOOG
2004-11-01,193.55,197.67,191.27,196.03,12224900,196.03,GOOG
2004-11-02,198.78,199.25,193.34,194.87,11346300,194.87,GOOG
2004-11-03,198.18,201.6,190.75,191.67,13888700,191.67,GOOG
2004-11-04,188.44,190.4,183.35,184.7,14409600,184.7,GOOG
2004-11-05,181.98,182.3,168.55,169.35,19833100,169.35,GOOG
2004-11-08,170.93,175.44,169.4,172.55,11191800,172.55,GOOG
2004-11-09,174.1,175.2,165.27,168.7,11064200,168.7,GOOG
2004-11-10,170.67,172.52,166.33,167.86,10644000,167.86,GOOG
2004-11-11,169.13,183.75,167.57,183.02,14985500,183.02,GOOG
2004-11-12,185.23,189.8,177.4,182.0,16746100,182.0,GOOG
2004-11-15,180.45,188.32,178.75,184.87,11901500,184.87,GOOG
2004-11-16,177.5,179.47,170.83,172.54,20917400,172.54,GOOG
2004-11-17,169.02,177.5,169.0,172.5,18132900,172.5,GOOG
2004-11-18,170.29,174.42,165.73,167.54,16629600,167.54,GOOG
2004-11-19,169.1,169.98,166.52,169.4,8769300,169.4,GOOG
2004-11-22,164.47,169.5,161.31,165.1,12368200,165.1,GOOG
2004-11-23,167.97,170.83,166.5,167.52,12413300,167.52,GOOG
2004-11-24,174.82,177.21,172.51,174.76,15281000,174.76,GOOG
2004-11-26,175.8,180.03,175.32,179.39,6480100,179.39,GOOG
2004-11-29,180.36,182.95,177.51,181.05,10666600,181.05,GOOG
2004-11-30,180.71,183.0,180.25,181.98,7700000,181.98,GOOG
2004-12-01,181.95,182.5,179.55,179.96,7864100,179.96,GOOG
2004-12-02,179.9,181.51,178.55,179.4,6260900,179.4,GOOG
2004-12-03,179.95,181.06,177.6,180.4,5869200,180.4,GOOG
2004-12-06,179.13,180.7,176.02,176.29,6254000,176.29,GOOG
2004-12-07,176.0,176.2,170.55,171.43,6870900,171.43,GOOG
2004-12-08,170.35,173.68,168.73,169.98,7541800,169.98,GOOG
2004-12-09,170.25,173.5,168.47,173.43,7654000,173.43,GOOG
2004-12-10,173.43,174.88,171.29,171.65,4317200,171.65,GOOG
2004-12-13,172.17,173.18,169.45,170.45,4818600,170.45,GOOG
2004-12-14,171.0,178.82,169.6,178.69,11088400,178.69,GOOG
2004-12-15,177.99,180.69,176.66,179.78,11471000,179.78,GOOG
2004-12-16,176.95,180.49,175.95,176.47,8572800,176.47,GOOG
2004-12-17,176.76,180.5,176.55,180.08,7386200,180.08,GOOG
2004-12-20,182.0,188.46,181.87,185.02,9834500,185.02,GOOG
2004-12-21,186.31,187.88,183.4,183.75,5516300,183.75,GOOG
2004-12-22,183.9,186.85,183.01,186.3,3907000,186.3,GOOG
2004-12-23,187.45,188.6,186.0,187.9,3614600,187.9,GOOG
2004-12-27,189.15,193.3,189.1,191.91,6104100,191.91,GOOG
2004-12-28,192.11,193.55,191.01,192.76,4145800,192.76,GOOG
2004-12-29,191.78,193.52,191.78,192.9,2678100,192.9,GOOG
2004-12-30,192.97,198.23,191.85,197.6,5904300,197.6,GOOG
2004-12-31,199.23,199.88,192.56,192.79,7668500,192.79,GOOG
2005-01-03,197.4,203.64,195.46,202.71,15844200,202.71,GOOG
2005-01-04,201.4,202.93,193.48,194.5,13755900,194.5,GOOG
2005-01-05,193.45,196.9,192.23,193.51,8236600,193.51,GOOG
2005-01-06,195.08,195.9,187.72,188.55,10387100,188.55,GOOG
2005-01-07,190.64,194.25,188.78,193.85,9662900,193.85,GOOG
2005-01-10,194.5,198.1,191.83,195.06,7539600,195.06,GOOG
2005-01-11,195.62,197.71,193.18,193.54,6958700,193.54,GOOG
2005-01-12,194.33,195.93,190.5,195.38,8177800,195.38,GOOG
2005-01-13,195.38,197.39,194.05,195.33,6849400,195.33,GOOG
2005-01-14,196.0,200.01,194.13,199.97,9640300,199.97,GOOG
2005-01-18,200.97,205.02,198.66,203.9,13172600,203.9,GOOG
2005-01-19,204.65,205.3,196.71,197.3,11257700,197.3,GOOG
2005-01-20,192.5,196.25,192.0,193.92,9001600,193.92,GOOG
2005-01-21,194.54,195.36,188.12,188.28,9258400,188.28,GOOG
2005-01-24,188.69,189.33,180.32,180.72,14022700,180.72,GOOG
2005-01-25,181.94,182.24,176.29,177.12,10659200,177.12,GOOG
2005-01-26,179.27,189.41,179.15,189.24,12307900,189.24,GOOG
2005-01-27,188.76,188.86,185.2,188.08,6627400,188.08,GOOG
2005-01-28,190.02,194.7,186.34,190.34,12208200,190.34,GOOG
2005-01-31,193.69,196.36,191.72,195.62,9596700,195.62,GOOG
2005-02-01,194.38,196.66,190.63,191.9,18839000,191.9,GOOG
2005-02-02,215.55,216.8,203.66,205.96,32799300,205.96,GOOG
2005-02-03,205.99,213.37,205.81,210.86,12988100,210.86,GOOG
2005-02-04,206.47,207.75,202.6,204.36,14819300,204.36,GOOG
2005-02-07,205.26,206.4,195.51,196.03,12960400,196.03,GOOG
2005-02-08,196.96,200.02,194.53,198.64,11480000,198.64,GOOG
